subject,model,corr_type,r
sub-09,Animacy,semipartial,-0.22492240779424985
sub-09,Category,full,0.669913359238617
sub-09,Category,semipartial,0.7040433491991039
sub-09,Gist,full,0.06766355421384154
sub-09,Gist,semipartial,-0.038168550539549845
sub-10,Animacy,full,0.20181516427641807
sub-10,Animacy,semipartial,0.005648789660503813
sub-10,Category,full,0.5811300451219232
sub-10,Category,semipartial,0.52705073544327
sub-10,Gist,full,0.166387127966432
sub-10,Gist,semipartial,0.0799991838155518
sub-11,Animacy,full,0.300023892215841
sub-11,Animacy,semipartial,0.12985224335798054
sub-11,Category,full,0.5254567345838158
sub-11,Category,semipartial,0.4362450693501413
sub-11,Gist,full,0.13567541164254163
sub-11,Gist,semipartial,0.06000862392666177
sub-12,Animacy,full,0.25172192680390126
sub-12,Animacy,semipartial,0.19638590722861174
sub-12,Category,full,0.20163758255855105
sub-12,Category,semipartial,0.10923185891802728
sub-12,Gist,full,0.11027291872304026
sub-12,Gist,semipartial,0.08496183737493264
sub-13,Animacy,full,0.009514618597436278
sub-13,Animacy,semipartial,-0.20807672723953044
sub-13,Category,full,0.601826770663343
sub-13,Category,semipartial,0.6299610885507853
sub-13,Gist,full,0.09274912529102905
sub-13,Gist,semipartial,-0.0020920350376556584
sub-14,Animacy,full,0.3741728925081915
sub-14,Animacy,semipartial,0.23821160297189492
sub-14,Category,full,0.4453091091766661
sub-14,Category,semipartial,0.3221422620065567
sub-14,Gist,full,0.1427515483105403
sub-14,Gist,semipartial,0.08162282422573042
sub-15,Animacy,full,0.1083708354696508
sub-15,Animacy,semipartial,-0.06634912448617374
sub-15,Category,full,0.5007232043710503
sub-15,Category,semipartial,0.48852526999391555
sub-15,Gist,full,0.07221933744750174
sub-15,Gist,semipartial,-0.004509450862103263
sub-16,Animacy,full,0.2806983442787569
sub-16,Animacy,semipartial,0.07139145031553965
sub-16,Category,full,0.6212389929425982
sub-16,Category,semipartial,0.5665523464738594
sub-16,Gist,full,0.0006509440404204521
sub-16,Gist,semipartial,-0.09233067477502648
sub-17,Animacy,full,0.32718127785065904
sub-17,Animacy,semipartial,0.15166805554387805
sub-17,Category,full,0.5350463663447496
sub-17,Category,semipartial,0.4620547826982892
sub-17,Gist,full,-0.032846246827689225
sub-17,Gist,semipartial,-0.11141615179028132
sub-18,Animacy,full,0.27142853598198674
sub-18,Animacy,semipartial,0.04417637896330131
sub-18,Category,full,0.6783325980468191
sub-18,Category,semipartial,0.6062508202228984
sub-18,Gist,full,0.16747822495766337
sub-18,Gist,semipartial,0.06712577609076871
sub-19,Animacy,full,0.42171678107888405
sub-19,Animacy,semipartial,0.2194903181853567
sub-19,Category,full,0.6288319667503564
sub-19,Category,semipartial,0.5177133437387119
sub-19,Gist,full,0.040441456630551126
sub-19,Gist,semipartial,-0.05014537400273247
sub-20,Animacy,full,0.16167596103758014
sub-20,Animacy,semipartial,-0.04044416906277149
sub-20,Category,full,0.5833381407710837
sub-20,Category,semipartial,0.5622510459730569
sub-20,Gist,full,0.044590605780192805
sub-20,Gist,semipartial,-0.044472380527240854
sub-21,Animacy,full,0.050352128078081454
sub-21,Animacy,semipartial,-0.1614850068140467
sub-21,Category,full,0.5902459537208558
sub-21,Category,semipartial,0.6104815999239348
sub-21,Gist,full,0.0411436314883658
sub-21,Gist,semipartial,-0.05154300303850493
sub-22,Animacy,full,0.3677439227638652
sub-22,Animacy,semipartial,0.1632112143126442
sub-22,Category,full,0.6302057492606972
sub-22,Category,semipartial,0.5270390821606753
