roi,subject,model,corr_type,r
Early_Visual,sub-08,Gist,full,-0.002898015304101496
Early_Visual,sub-09,Gist,full,0.2716780442633179
Early_Visual,sub-10,Gist,full,0.1006577110889228
Early_Visual,sub-11,Gist,full,0.13842511552262776
Early_Visual,sub-12,Gist,full,0.1463958288149893
Early_Visual,sub-13,Gist,full,0.1213976722530084
Early_Visual,sub-14,Gist,full,0.11002746297078751
Early_Visual,sub-15,Gist,full,0.09994710087964355
Early_Visual,sub-16,Gist,full,0.07731482826246724
Early_Visual,sub-17,Gist,full,0.06507273138244056
Early_Visual,sub-18,Gist,full,0.080570718033268
Early_Visual,sub-19,Gist,full,0.14928458865069336
Early_Visual,sub-20,Gist,full,0.016972400912717126
Early_Visual,sub-01,Gist,semipartial,0.008295655979742755
Early_Visual,sub-02,Gist,semipartial,0.108387695535517
Early_Visual,sub-03,Gist,semipartial,-0.06728118244348509
Early_Visual,sub-04,Gist,semipartial,0.2506155063562994
Early_Visual,sub-05,Gist,semipartial,0.04770892792941758
Early_Visual,sub-06,Gist,semipartial,0.05515252318012126
Early_Visual,sub-07,Gist,semipartial,0.11691249417502833
Early_Visual,sub-08,Gist,semipartial,-2.4336662145141904e-05
Early_Visual,sub-09,Gist,semipartial,0.27517850998125915
Early_Visual,sub-10,Gist,semipartial,0.10607633755249571
Early_Visual,sub-11,Gist,semipartial,0.1383421645452424
Early_Visual,sub-12,Gist,semipartial,0.1495463290196187
Early_Visual,sub-13,Gist,semipartial,0.1260949810295886
Early_Visual,sub-14,Gist,semipartial,0.11384831930262074
Early_Visual,sub-15,Gist,semipartial,0.10063224350483209
Early_Visual,sub-16,Gist,semipartial,0.08079467573204573
Early_Visual,sub-17,Gist,semipartial,0.06693009889050588
Early_Visual,sub-18,Gist,semipartial,0.08459299200192516
Early_Visual,sub-19,Gist,semipartial,0.15313384028105265
Early_Visual,sub-20,Gist,semipartial,0.020621614644440428
Dorsal_Stream_Visual,sub-01,Animacy,full,0.06513812169078871
Dorsal_Stream_Visual,sub-02,Animacy,full,-0.003173118238317123
Dorsal_Stream_Visual,sub-03,Animacy,full,0.061355808994569466
Dorsal_Stream_Visual,sub-04,Animacy,full,0.09863175356012663
Dorsal_Stream_Visual,sub-05,Animacy,full,0.09563659612209235
Dorsal_Stream_Visual,sub-06,Animacy,full,0.022984336446338814
Dorsal_Stream_Visual,sub-07,Animacy,full,0.04108524083707597
Dorsal_Stream_Visual,sub-08,Animacy,full,0.03400051585091129
Dorsal_Stream_Visual,sub-09,Animacy,full,-0.019882368848661767
Dorsal_Stream_Visual,sub-10,Animacy,full,0.011589975581424414
Dorsal_Stream_Visual,sub-11,Animacy,full,0.03127622015850541
Dorsal_Stream_Visual,sub-12,Animacy,full,0.011606706914169792
Dorsal_Stream_Visual,sub-13,Animacy,full,0.03751749961996305
Dorsal_Stream_Visual,sub-14,Animacy,full,0.016515896109560446
Dorsal_Stream_Visual,sub-15,Animacy,full,0.06193367010470032
Dorsal_Stream_Visual,sub-16,Animacy,full,0.0030683957531984505
Dorsal_Stream_Visual,sub-17,Animacy,full,0.028940827194380833
Dorsal_Stream_Visual,sub-18,Animacy,full,0.1903248600062189
Dorsal_Stream_Visual,sub-19,Animacy,full,0.10747626687077423
Dorsal_Stream_Visual,sub-20,Animacy,full,-0.038432199281913396
Dorsal_Stream_Visual,sub-01,Animacy,semipartial,0.022669762777456304
Dorsal_Stream_Visual,sub-02,Animacy,semipartial,-0.004281215384544739
Dorsal_Stream_Visual,sub-03,Animacy,semipartial,0.06150083937080232
Dorsal_Stream_Visual,sub-04,Animacy,semipartial,0.09247982180892225
Dorsal_Stream_Visual,sub-05,Animacy,semipartial,0.072520169378691
Dorsal_Stream_Visual,sub-06,Animacy,semipartial,0.0006987613461577977
Dorsal_Stream_Visual,sub-07,Animacy,semipartial,0.023728548071151608
Dorsal_Stream_Visual,sub-08,Animacy,semipartial,0.0310997801335198
Dorsal_Stream_Visual,sub-09,Animacy,semipartial,-0.0524653792592162
Dorsal_Stream_Visual,sub-10,Animacy,semipartial,-0.0029109632836185587
Dorsal_Stream_Visual,sub-11,Animacy,semipartial,0.029653239521089683
Dorsal_Stream_Visual,sub-12,Animacy,semipartial,-0.03880803298400137
Dorsal_Stream_Visual,sub-13,Animacy,semipartial,0.02157065070515515
Dorsal_Stream_Visual,sub-14,Animacy,semipartial,-0.001357649630320601
Dorsal_Stream_Visual,sub-15,Animacy,semipartial,0.06099769656121655
Dorsal_Stream_Visual,sub-16,Animacy,semipartial,-0.013786801298234239
Dorsal_Stream_Visual,sub-17,Animacy,semipartial,0.018469595693871164
Dorsal_Stream_Visual,sub-18,Animacy,semipartial,0.1853270065795047
Dorsal_Stream_Visual,sub-19,Animacy,semipartial,0.08660755629186115
Dorsal_Stream_Visual,sub-20,Animacy,semipartial,-0.056335649260876086
Dorsal_Stream_Visual,sub-01,Category,full,0.13396764694963317
Dorsal_Stream_Visual,sub-02,Category,full,0.004163478741552912
Dorsal_Stream_Visual,sub-03,Category,full,0.00895860000180709
Dorsal_Stream_Visual,sub-04,Category,full,0.03525919861635925
Dorsal_Stream_Visual,sub-05,Category,full,0.0837284931056453
Dorsal_Stream_Visual,sub-06,Category,full,0.06770709162783434
Dorsal_Stream_Visual,sub-07,Category,full,0.05726600768524497
Dorsal_Stream_Visual,sub-08,Category,full,0.013442111680443299
Dorsal_Stream_Visual,sub-09,Category,full,0.09140728704303584
Dorsal_Stream_Visual,sub-10,Category,full,0.043634343046938105
Dorsal_Stream_Visual,sub-11,Category,full,0.008997250821054808
Dorsal_Stream_Visual,sub-12,Category,full,0.1492265872640199
Dorsal_Stream_Visual,sub-13,Category,full,0.051598975446645955
Dorsal_Stream_Visual,sub-14,Category,full,0.05505385953490735
Dorsal_Stream_Visual,sub-15,Category,full,0.012767613996934478
Dorsal_Stream_Visual,sub-16,Category,full,0.05035400109380771
Dorsal_Stream_Visual,sub-17,Category,full,0.03485785244250768
Dorsal_Stream_Visual,sub-18,Category,full,0.04732022355961493
Dorsal_Stream_Visual,sub-19,Category,full,0.07992889932691223
Dorsal_Stream_Visual,sub-20,Category,full,0.04543788259950671
Dorsal_Stream_Visual,sub-01,Category,semipartial,0.11820057206372199
Dorsal_Stream_Visual,sub-02,Category,semipartial,0.009433578435571618
Dorsal_Stream_Visual,sub-03,Category,semipartial,-0.013973409564171133
Dorsal_Stream_Visual,sub-04,Category,semipartial,0.005731073449298
Dorsal_Stream_Visual,sub-05,Category,semipartial,0.05706848534961848
Dorsal_Stream_Visual,sub-06,Category,semipartial,0.06120424742707603
Dorsal_Stream_Visual,sub-07,Category,semipartial,0.04624914089222105
Dorsal_Stream_Visual,sub-08,Category,semipartial,0.0007134307510649916
Dorsal_Stream_Visual,sub-09,Category,semipartial,0.10348845123007303
Dorsal_Stream_Visual,sub-10,Category,semipartial,0.0409131623086115
Dorsal_Stream_Visual,sub-11,Category,semipartial,-0.003784217225446942
Dorsal_Stream_Visual,sub-12,Category,semipartial,0.1557004047646632
Dorsal_Stream_Visual,sub-13,Category,semipartial,0.03888361221905901
Dorsal_Stream_Visual,sub-14,Category,semipartial,0.053409582557546985
Dorsal_Stream_Visual,sub-15,Category,semipartial,-0.00862046347192725
Dorsal_Stream_Visual,sub-16,Category,semipartial,0.05442650073359153
Dorsal_Stream_Visual,sub-17,Category,semipartial,0.02577023819933087
Dorsal_Stream_Visual,sub-18,Category,semipartial,-0.01281335154044788
Dorsal_Stream_Visual,sub-19,Category,semipartial,0.05100280162338809
Dorsal_Stream_Visual,sub-20,Category,semipartial,0.060754187757406736
Dorsal_Stream_Visual,sub-01,Gist,full,-0.03525600716742671
Dorsal_Stream_Visual,sub-02,Gist,full,0.11934562599284165
Dorsal_Stream_Visual,sub-03,Gist,full,-0.07170792158199774
Dorsal_Stream_Visual,sub-04,Gist,full,0.07034280348246819
Dorsal_Stream_Visual,sub-05,Gist,full,0.040732668560077415
Dorsal_Stream_Visual,sub-06,Gist,full,-0.07689182502192797
Dorsal_Stream_Visual,sub-07,Gist,full,-0.006777316689623851
Dorsal_Stream_Visual,sub-08,Gist,full,-0.05529528896431818
Dorsal_Stream_Visual,sub-09,Gist,full,-0.0018798885308828107
Dorsal_Stream_Visual,sub-10,Gist,full,-0.03857740097727785
Dorsal_Stream_Visual,sub-11,Gist,full,-0.07744608648778789
Dorsal_Stream_Visual,sub-12,Gist,full,0.0543663677299443
Dorsal_Stream_Visual,sub-13,Gist,full,-0.0854405972014054
Dorsal_Stream_Visual,sub-14,Gist,full,0.025265153740602068
