Row	control_person	clutter_person	deletion_person	occlusion_person	scrambling_person	control_cat	clutter_cat	deletion_cat	occlusion_cat	scrambling_cat	control_bird	clutter_bird	deletion_bird	occlusion_bird	scrambling_bird	control_banana	clutter_banana	deletion_banana	occlusion_banana	scrambling_banana	control_firehydrant	clutter_firehydrant	deletion_firehydrant	occlusion_firehydrant	scrambling_firehydrant	control_tree	clutter_tree	deletion_tree	occlusion_tree	scrambling_tree	control_bus	clutter_bus	deletion_bus	occlusion_bus	scrambling_bus	control_building	clutter_building	deletion_building	occlusion_building	scrambling_building
control_firehydrant	0.127598430692114	0.918569103188503	0.139014534317676	0.1006795021956	0.893690837005997	0.127908484759318	0.903393930352739	0.117578949966975	0.102722312715926	0.861475896350755	0.186967143311239	1.00078459187654	0.171933136147132	0.115939783418575	0.927969730419742	0.271258295982812	1.09631785858062	0.220409914075548	0.130901477671051	0.903516884865908	0.0630968370170723	0.972466510805733	0.0857075641629774	0.0795062926652434	0.921371643780777	0.14096748873954	0.80469849904333	0.154316198894293	0.0889541515397835	0.929139101384884	0.129910906287032	0.972338584997503	0.122720235205299	0.0874910623316381	0.896688773057432	0.142473239035321	0.898250095821562	0.120029527471339	0.115410075923953	0.906237929119794
clutter_firehydrant	0.973266981732319	0.511928197784424	0.965051010473976	0.930860234218103	0.569847969096329	1.00071335496262	0.506844650700701	0.990025753377833	0.955342933766883	0.637199353462601	0.99930305341759	0.590056874655831	0.983279588143938	0.945139783359224	0.741090780974817	0.984655404590541	0.536663114535546	0.97502575385902	0.933175177505192	0.720506973964534	0.972466510805733	0.551634818086488	0.967073197397514	0.930488085476269	0.594580008596894	1.03865753473027	0.525808818610957	1.02521441015448	0.98078016681005	0.894306908163994	0.973372659269236	0.563836407961966	0.968698922920735	0.937409749310394	0.674067602533567	0.970514800356696	0.572678814303687	0.968813754269987	0.94740383239403	0.60087432963746
deletion_firehydrant	0.143564098341502	0.915114472602904	0.148360594999776	0.104506759591614	0.864827331938278	0.162533262639414	0.895295353117682	0.145783702264153	0.11681563174823	0.832301397980557	0.20916128181787	0.997864747835785	0.187258233501465	0.128641984672913	0.90700792411825	0.298444259761122	1.0822612059369	0.242563514215733	0.140213639663954	0.88005293030476	0.0857075641629774	0.967073197397514	0.0825607656259995	0.0931365871146356	0.906839624601073	0.163519906021859	0.805006188986355	0.165629888055283	0.107112371710653	0.917416866149406	0.164188998810826	0.972847407021688	0.152982899698064	0.1043851887906	0.897062862882293	0.184320582655418	0.904984703298991	0.157242854572499	0.147443858811858	0.906515482427904
occlusion_firehydrant	0.114257547866461	0.873556008383141	0.119644918593536	0.0557125832608733	0.801332571294863	0.106849250163555	0.843123360216478	0.0918141772995514	0.0643295192061556	0.754395160402074	0.176151797233179	0.957264208899685	0.152187251047442	0.0752802238305511	0.851512006496496	0.246210806133376	1.04264371167554	0.189860514683883	0.0851379011599143	0.824968284337349	0.0795062926652434	0.930488085476269	0.0931365871146356	0.044231289061769	0.870818083699744	0.171366995044895	0.768303368401806	0.174082554498586	0.0780970925952496	0.913018878748355	0.142400576385967	0.945423503556824	0.118911226598926	0.0672620110454897	0.88185732462666	0.153941661295589	0.870317388733783	0.114738083404594	0.0978593237089275	0.885875799239295
scrambling_firehydrant	0.937004920957266	0.468066069550442	0.916058481677672	0.871972113092805	0.561872463583766	0.955793839443217	0.463343844746617	0.939687934959354	0.904326855517792	0.551099554111751	0.961419276836068	0.564149001194674	0.927396221977552	0.891375274914975	0.640186987488404	0.91469999633601	0.534252338685541	0.898308123007049	0.855460217619479	0.608655258874656	0.921371643780777	0.594580008596894	0.906839624601073	0.870818083699744	0.322162363912774	1.02574145843221	0.618976864840591	0.999798309528749	0.943690356438937	0.59622128923094	0.894887835586311	0.523549895645845	0.89115469642246	0.86697360559869	0.323356662686019	0.938147573792411	0.490979709635004	0.928226993937798	0.908671543332522	0.522008430304576
control_tree	0.17055644952103	0.987232321219721	0.19677527167282	0.17609950946405	0.989364662618978	0.189275487809901	0.970119706301428	0.178183852800883	0.170541528880941	0.978053939138582	0.2270460390966	1.05816818442934	0.222836516523267	0.189869598983297	1.01372575515718	0.366198702060995	1.14902168557929	0.33078494621117	0.236457983475006	0.982982636806712	0.14096748873954	1.03865753473027	0.163519906021859	0.171366995044895	1.02574145843221	0.123557386621746	0.8516245584437	0.155063180385442	0.129580524956435	0.988006848700611	0.199798721342389	1.04597784804671	0.198349463255148	0.171679454445071	0.971744508035642	0.219673800176924	0.96658349635695	0.190415737203212	0.20057043053819	0.978640672731096
clutter_tree	0.814904247519503	0.468320539175015	0.812647238340525	0.77391622085903	0.554911225687258	0.82289290334158	0.455532947224737	0.816333649355619	0.782510685404238	0.635704620586168	0.838145037959243	0.556100263955432	0.826918470144597	0.780702113111556	0.76185151625904	0.845821440444641	0.522989476445402	0.826080831026559	0.778178870210897	0.715955655873427	0.80469849904333	0.525808818610957	0.805006188986355	0.768303368401806	0.618976864840591	0.851624558443701	0.391879025592503	0.846389786876008	0.793875152826945	0.960462758282616	0.804412654429265	0.541163561425167	0.802881025788428	0.770280182967367	0.693494271797587	0.802497458805318	0.539472649512992	0.801682586446729	0.776748687503309	0.576279750594629
deletion_tree	0.185362510947394	0.97509929328229	0.205252423386772	0.178042052032589	0.957116415933544	0.201068219380736	0.95436714991883	0.188400042617027	0.174806537918296	0.938347521658942	0.23956635553027	1.0445840338998	0.231063838693774	0.192359014936998	0.981489109478322	0.369696298180403	1.13248814752894	0.328247323341716	0.231747425264463	0.956403501015086	0.154316198894293	1.02521441015448	0.165629888055283	0.174082554498586	0.999798309528749	0.155063180385442	0.846389786876008	0.174978049959595	0.144324445688604	0.969114316856622	0.212670088606544	1.03110717686137	0.209544317659914	0.176865517799865	0.957495254807808	0.237952605801475	0.959861919009461	0.206716912986721	0.211204425326178	0.968309881722058
occlusion_tree	0.120966076773331	0.921713438758005	0.135073233996169	0.087329273626759	0.886024244363441	0.11453005957518	0.895234162898666	0.102581156630879	0.0836809344357891	0.847187077444145	0.174094469219065	0.999559953381862	0.159479068757733	0.0988908996391313	0.91862651292778	0.276938939696487	1.09522245688951	0.225058414172215	0.126586353995354	0.890260142610676	0.0889541515397835	0.98078016681005	0.107112371710653	0.0780970925952496	0.943690356438937	0.129580524956435	0.793875152826945	0.144324445688604	0.0723608238960455	0.950468263885122	0.141598456460957	0.990047319529077	0.128859249953217	0.0872239084811838	0.919558460702601	0.160659100188534	0.912935082674893	0.124692055838397	0.11754590012866	0.932823475714453
scrambling_tree	0.937250394407205	0.822954706217952	0.920133160883093	0.907148414146951	0.793415375141277	0.950243527519057	0.83479654301318	0.935896516442469	0.927192616717519	0.770889290844204	0.941562993690397	0.860480845726518	0.917445749292279	0.914469495790908	0.75005009432402	0.932831038875342	0.868642037520987	0.916591764855624	0.897951032848903	0.82017627034173	0.929139101384884	0.894306908163994	0.917416866149406	0.913018878748355	0.59622128923094	0.988006848700611	0.960462758282616	0.969114316856622	0.950468263885122	0.490579055004766	0.903372643683851	0.807408235156752	0.899081498043977	0.898426938196561	0.563393903160346	0.955061108164907	0.796978507505802	0.940141845452074	0.943984219286993	0.760240782541451
control_bus	0.203924878185625	0.908499661173293	0.210265750954319	0.169154529156928	0.919159003285933	0.158571109485419	0.892970595058338	0.156001701514716	0.14883566656668	0.862866151554785	0.232815984862311	0.976052704546829	0.215294496564889	0.170424298058263	0.923686580583879	0.2693037477012	1.07642211550167	0.227013019043529	0.161030704497537	0.885467837279828	0.129910906287032	0.973372659269236	0.164188998810826	0.142400576385966	0.89488783558631	0.199798721342389	0.804412654429265	0.212670088606544	0.141598456460957	0.903372643683851	0.0935195750360884	0.908419837718579	0.109881619877118	0.103508117751972	0.821247324505503	0.178429805626193	0.886369138749797	0.160078210313876	0.161067233272734	0.903925506741007
clutter_bus	0.997337837955445	0.499934247065105	0.984146216384381	0.953479341658618	0.600409883786917	1.00009906213258	0.511232710269931	0.994197624153679	0.966226928903504	0.662501762801983	1.0071375875961	0.56033565516404	0.987704296844786	0.962129122575051	0.743118367900251	0.956945932831557	0.516018162345082	0.951193652751908	0.926121057779589	0.731143894606502	0.972338584997503	0.563836407961966	0.972847407021688	0.945423503556824	0.523549895645845	1.04597784804671	0.541163561425167	1.03110717686137	0.990047319529077	0.807408235156753	0.908419837718579	0.469235253344942	0.924423856951645	0.91559606007126	0.546962382551561	0.9581440842293	0.551643179931999	0.966343091879747	0.95138750868867	0.537296166062636
deletion_bus	0.180969261682215	0.905890751119896	0.185384450322639	0.138620029729336	0.88678646881613	0.143778698114333	0.886333139324045	0.138467910909898	0.127507366819591	0.830196799538652	0.218425004266522	0.976695279198519	0.19826985279041	0.145570631209191	0.89999358358053	0.253582490117966	1.0728664340652	0.206663592236897	0.138197680502696	0.86954944141023	0.122720235205299	0.968698922920735	0.152982899698064	0.118911226598926	0.89115469642246	0.198349463255148	0.802881025788428	0.209544317659914	0.128859249953217	0.899081498043977	0.109881619877118	0.924423856951645	0.109293521950234	0.0944259469999737	0.843191136445054	0.175908868689916	0.889559198413686	0.150517840263535	0.147790127253199	0.903331625037687
occlusion_bus	0.136941760647958	0.872590191490632	0.139413908159639	0.0787415055210978	0.832266376554881	0.122025718844095	0.845668613908447	0.109595245144426	0.0824033010211114	0.775879871545227	0.187050726697689	0.954649304077182	0.161782559599889	0.0946585438788546	0.863834298082392	0.238613869181367	1.04495241288043	0.185202902113437	0.0920009320797961	0.827482172717046	0.0874910623316381	0.937409749310394	0.1043851887906	0.0672620110454897	0.866973605598691	0.171679454445071	0.770280182967367	0.176865517799865	0.0872239084811838	0.898426938196561	0.103508117751972	0.91559606007126	0.0944259469999737	0.0548078527108241	0.839556344129405	0.163056856902281	0.870422860695435	0.128124326313038	0.116171432971992	0.891406567934792
scrambling_bus	0.936902629014165	0.497813081969251	0.921390774105666	0.890006193209158	0.717621347684359	0.939871813942874	0.497463347531046	0.930217946218772	0.906219278515159	0.672600846320377	0.941600400776308	0.60810732601416	0.914153599126683	0.897836513330341	0.712290514139596	0.903552315247265	0.607643421643785	0.894526190505972	0.86412796889927	0.664071534893893	0.896688773057432	0.674067602533567	0.897062862882293	0.88185732462666	0.323356662686019	0.971744508035642	0.693494271797587	0.957495254807808	0.919558460702601	0.563393903160346	0.821247324505503	0.546962382551561	0.843191136445054	0.839556344129405	0.177091026450895	0.915637062370701	0.496580202831112	0.911629264488927	0.904610824896242	0.56173973585751
